Date & Time,Humidity,Temperature,Fahrenheit,No of Occupant
[2022-11-18 08:58:53.787] ,51.8,20.6,69.08,0
[2022-11-18 08:58:54.793] ,51.8,20.6,69.08,0
[2022-11-18 08:58:55.796] ,51.8,20.6,69.08,0
[2022-11-18 08:58:56.805] ,51.8,20.6,69.08,0
[2022-11-18 08:58:57.809] ,51.8,20.6,69.08,0
[2022-11-18 08:58:58.816] ,51.8,20.6,69.08,0
[2022-11-18 08:58:59.819] ,51.8,20.6,69.08,0
[2022-11-18 08:59:00.826] ,51.9,20.6,69.08,0
[2022-11-18 08:59:01.828] ,51.9,20.6,69.08,0
[2022-11-18 08:59:02.838] ,51.9,20.6,69.08,0
[2022-11-18 08:59:03.837] ,51.9,20.6,69.08,0
[2022-11-18 08:59:04.848] ,51.9,20.6,69.08,0
[2022-11-18 08:59:05.847] ,51.9,20.6,69.08,0
[2022-11-18 08:59:06.860] ,51.9,20.6,69.08,0
[2022-11-18 08:59:08.214] ,51.9,20.6,69.08,0
[2022-11-18 08:59:08.867] ,51.9,20.6,69.08,0
[2022-11-18 08:59:10.350] ,51.9,20.6,69.08,0
[2022-11-18 08:59:10.876] ,51.9,20.6,69.08,0
[2022-11-18 08:59:11.881] ,51.9,20.6,69.08,0
[2022-11-18 08:59:13.025] ,51.9,20.6,69.08,0
[2022-11-18 08:59:13.891] ,51.9,20.6,69.08,0
[2022-11-18 08:59:14.900] ,52,20.6,69.08,0
[2022-11-18 08:59:15.903] ,52,20.6,69.08,0
[2022-11-18 08:59:16.911] ,52,20.6,69.08,0
[2022-11-18 08:59:17.909] ,52,20.6,69.08,0
[2022-11-18 08:59:18.921] ,52,20.6,69.08,0
[2022-11-18 08:59:19.922] ,52,20.6,69.08,0
[2022-11-18 08:59:20.925] ,52,20.6,69.08,0
[2022-11-18 08:59:21.931] ,52,20.6,69.08,0
[2022-11-18 08:59:22.937] ,52,20.6,69.08,0
[2022-11-18 08:59:23.942] ,52,20.6,69.08,0
[2022-11-18 08:59:24.950] ,52,20.6,69.08,0
[2022-11-18 08:59:25.953] ,52,20.6,69.08,0
[2022-11-18 08:59:26.961] ,52,20.6,69.08,0
[2022-11-18 08:59:27.965] ,52,20.6,69.08,0
[2022-11-18 08:59:28.973] ,52,20.6,69.08,0
[2022-11-18 08:59:29.969] ,52,20.6,69.08,0
[2022-11-18 08:59:30.984] ,52,20.6,69.08,0
[2022-11-18 08:59:31.981] ,52,20.6,69.08,0
[2022-11-18 08:59:32.991] ,52,20.6,69.08,0
[2022-11-18 08:59:33.993] ,52,20.6,69.08,0
[2022-11-18 08:59:35.002] ,51.9,20.7,69.26,0
[2022-11-18 08:59:36.005] ,51.9,20.7,69.26,0
[2022-11-18 08:59:37.013] ,51.9,20.6,69.08,0
[2022-11-18 08:59:38.016] ,51.9,20.6,69.08,0
[2022-11-18 08:59:39.021] ,52,20.7,69.26,0
[2022-11-18 08:59:40.026] ,52,20.7,69.26,0
[2022-11-18 08:59:41.035] ,51.9,20.6,69.08,0
[2022-11-18 08:59:42.031] ,51.9,20.6,69.08,0
[2022-11-18 08:59:43.046] ,52,20.6,69.08,0
[2022-11-18 08:59:44.045] ,52,20.6,69.08,0
[2022-11-18 08:59:45.052] ,52,20.6,69.08,0
[2022-11-18 08:59:46.056] ,52,20.6,69.08,0
[2022-11-18 08:59:47.062] ,52,20.6,69.08,0
[2022-11-18 08:59:48.066] ,52,20.6,69.08,0
[2022-11-18 08:59:49.071] ,52,20.7,69.26,0
[2022-11-18 08:59:50.078] ,52,20.7,69.26,0
[2022-11-18 08:59:51.085] ,52,20.7,69.26,0
[2022-11-18 08:59:52.088] ,52,20.7,69.26,0
[2022-11-18 08:59:53.097] ,52,20.7,69.26,0
[2022-11-18 08:59:54.095] ,52,20.7,69.26,0
[2022-11-18 08:59:55.107] ,52.1,20.6,69.08,0
[2022-11-18 08:59:56.106] ,52.1,20.6,69.08,0
[2022-11-18 08:59:57.118] ,52.1,20.7,69.26,0
[2022-11-18 08:59:58.115] ,52.1,20.7,69.26,0
[2022-11-18 08:59:59.125] ,52,20.7,69.26,0
[2022-11-18 09:00:00.129] ,52,20.7,69.26,0
[2022-11-18 09:00:01.136] ,52.1,20.7,69.26,0
[2022-11-18 09:00:02.139] ,52.1,20.7,69.26,0
[2022-11-18 09:00:03.146] ,52.1,20.7,69.26,0
[2022-11-18 09:00:04.151] ,52.1,20.7,69.26,0
[2022-11-18 09:00:05.158] ,52.1,20.7,69.26,0
[2022-11-18 09:00:06.160] ,52.1,20.7,69.26,0
[2022-11-18 09:00:07.168] ,52.1,20.7,69.26,0
[2022-11-18 09:00:08.165] ,52.1,20.7,69.26,0
[2022-11-18 09:00:09.180] ,52.1,20.7,69.26,0
[2022-11-18 09:00:10.179] ,52.1,20.7,69.26,0
[2022-11-18 09:00:11.190] ,52.1,20.7,69.26,0
[2022-11-18 09:00:12.191] ,52.1,20.7,69.26,0
[2022-11-18 09:00:13.198] ,52.2,20.7,69.26,0
[2022-11-18 09:00:14.200] ,52.2,20.7,69.26,0
[2022-11-18 09:00:15.209] ,52.1,20.7,69.26,0
[2022-11-18 09:00:16.211] ,52.1,20.7,69.26,0
[2022-11-18 09:00:17.220] ,52.1,20.7,69.26,0
[2022-11-18 09:00:18.220] ,52.1,20.7,69.26,0
[2022-11-18 09:00:19.231] ,52.1,20.7,69.26,0
[2022-11-18 09:00:20.235] ,52.1,20.7,69.26,0
[2022-11-18 09:00:21.242] ,52.1,20.7,69.26,0
[2022-11-18 09:00:22.245] ,52.1,20.7,69.26,0
[2022-11-18 09:00:23.253] ,52.1,20.7,69.26,0
[2022-11-18 09:00:24.251] ,52.1,20.7,69.26,0
[2022-11-18 09:00:25.263] ,52.1,20.7,69.26,0
[2022-11-18 09:00:26.263] ,52.1,20.7,69.26,0
[2022-11-18 09:00:27.270] ,52,20.7,69.26,0
[2022-11-18 09:00:28.271] ,52,20.7,69.26,0
[2022-11-18 09:00:29.281] ,52,20.7,69.26,0
[2022-11-18 09:00:30.283] ,52,20.7,69.26,0
[2022-11-18 09:00:31.293] ,52,20.7,69.26,0
[2022-11-18 09:00:32.297] ,52,20.7,69.26,0
[2022-11-18 09:00:33.304] ,52.1,20.7,69.26,0
[2022-11-18 09:00:34.308] ,52.1,20.7,69.26,0
[2022-11-18 09:00:35.312] ,52.1,20.7,69.26,0
[2022-11-18 09:00:36.318] ,52.1,20.7,69.26,0
[2022-11-18 09:00:37.326] ,52.1,20.7,69.26,0
[2022-11-18 09:00:38.322] ,52.1,20.7,69.26,0
[2022-11-18 09:00:39.337] ,52.1,20.7,69.26,0
[2022-11-18 09:00:40.336] ,52.1,20.7,69.26,0
[2022-11-18 09:00:41.344] ,52.1,20.7,69.26,0
[2022-11-18 09:00:42.347] ,52.1,20.7,69.26,0
[2022-11-18 09:00:43.355] ,52.1,20.7,69.26,0
[2022-11-18 09:00:44.358] ,52.1,20.7,69.26,0
[2022-11-18 09:00:45.366] ,52.1,20.7,69.26,0
[2022-11-18 09:00:46.369] ,52.1,20.7,69.26,0
[2022-11-18 09:00:47.374] ,52.1,20.7,69.26,0
[2022-11-18 09:00:48.380] ,52.1,20.7,69.26,0
[2022-11-18 09:00:49.387] ,52.1,20.7,69.26,0
[2022-11-18 09:00:50.391] ,52.1,20.7,69.26,0
[2022-11-18 09:00:51.395] ,52.1,20.7,69.26,0
[2022-11-18 09:00:52.397] ,52.1,20.7,69.26,0
[2022-11-18 09:00:53.410] ,52.1,20.7,69.26,0
[2022-11-18 09:00:54.409] ,52.1,20.7,69.26,0
[2022-11-18 09:00:55.421] ,52.1,20.7,69.26,0
[2022-11-18 09:00:56.419] ,52.1,20.7,69.26,0
[2022-11-18 09:00:57.428] ,52.1,20.7,69.26,0
[2022-11-18 09:00:58.431] ,52.1,20.7,69.26,0
[2022-11-18 09:00:59.439] ,52.1,20.7,69.26,0
[2022-11-18 09:01:00.442] ,52.1,20.7,69.26,0
[2022-11-18 09:01:01.450] ,52.1,20.7,69.26,0
[2022-11-18 09:01:02.453] ,52.1,20.7,69.26,0
[2022-11-18 09:01:03.461] ,52.2,20.7,69.26,0
[2022-11-18 09:01:04.464] ,52.2,20.7,69.26,0
[2022-11-18 09:01:05.471] ,52.2,20.8,69.44,0
[2022-11-18 09:01:06.472] ,52.2,20.8,69.44,0
[2022-11-18 09:01:07.480] ,52.2,20.7,69.26,0
[2022-11-18 09:01:08.481] ,52.2,20.7,69.26,0
[2022-11-18 09:01:09.494] ,52.1,20.7,69.26,0
[2022-11-18 09:01:10.493] ,52.1,20.7,69.26,0
[2022-11-18 09:01:11.500] ,52.1,20.7,69.26,0
[2022-11-18 09:01:12.504] ,52.1,20.7,69.26,0
[2022-11-18 09:01:13.511] ,52.1,20.7,69.26,0
[2022-11-18 09:01:14.515] ,52.1,20.7,69.26,0
[2022-11-18 09:01:15.522] ,52.1,20.7,69.26,0
[2022-11-18 09:01:16.523] ,52.1,20.7,69.26,0
[2022-11-18 09:01:17.534] ,52.1,20.7,69.26,0
[2022-11-18 09:01:18.537] ,52.1,20.7,69.26,0
[2022-11-18 09:01:19.544] ,52.1,20.7,69.26,0
[2022-11-18 09:01:20.547] ,52.1,20.7,69.26,0
[2022-11-18 09:01:21.556] ,52.1,20.7,69.26,0
[2022-11-18 09:01:22.555] ,52.1,20.7,69.26,0
[2022-11-18 09:01:23.566] ,52.1,20.7,69.26,0
